_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
69abd367ab0fca9c9d395aaa,,57.63,90.12,57.63,59.01,72;0;0;0,time,15,,0,14.99,0,0,false,false,english,,normal,false,false,false,,1772868455239
69ab94a1ab0fca9c9d37a15d,,71.24,90.1,79.25,73.73,89;6;0;0,time,15,-1,1,14.99,0,0.72,false,false,english,,normal,false,false,false,,1772852385000
69ab948eab0fca9c9d37a0ed,,86.46,94.17,95.26,71.87,108;4;0;2,time,15,-1,2,14.99,0,1.83,false,false,english,,normal,false,false,false,,1772852366000
69ab947aab0fca9c9d37a088,,52.82,85.26,73.63,59.8,66;6;0;2,time,15,-1,1,14.99,0,0.17,false,false,english,,normal,false,false,false,,1772852346000
69ab944eab0fca9c9d379f8d,,72.04,92.23,80.84,78.82,90;4;0;0,time,15,-1,1,14.99,0,0.41,false,false,english,,normal,false,false,false,,1772852302000
69ab943aab0fca9c9d379f23,,55.23,88.61,55.23,68.64,69;0;0;0,time,15,-1,1,14.99,0,1.1,false,false,english,,normal,false,false,false,,1772852282000
69ab9426ab0fca9c9d379ec5,,64.04,90.32,69.64,74.88,80;2;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1772852262000
69ab9416ab0fca9c9d379e72,,50.41,84,50.41,56.83,63;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1772852246000
69ab9404ab0fca9c9d379e05,,64.84,90.22,68.85,51.05,81;2;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1772852228000
69ab9297ab0fca9c9d37961c,,61.63,88.04,64.83,60.14,77;2;0;0,time,15,-1,1,14.99,0,2.79,false,false,english,,normal,false,false,false,,1772851863000
69ab9284ab0fca9c9d3795ba,,77.64,93.46,83.24,68.09,97;2;1;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1772851844000
69ab75a2ab0fca9c9d36f536,,85.62,97.32,89.62,69.52,107;2;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1772844450000
69aaf263ab0fca9c9d31735b,,78.46,96.12,83.26,73.48,98;4;0;1,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1772810851000
69aaf253ab0fca9c9d317273,,69.65,91.75,74.45,69.67,87;4;0;1,time,15,-1,2,14.99,0,4.28,false,false,english,,normal,false,false,false,,1772810835000
69aaf090ab0fca9c9d3157eb,,73.63,95.83,73.63,73.36,92;0;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1772810384000
69aaf07eab0fca9c9d3156ff,,55.2,87.5,55.2,63.36,69;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1772810366000
69aaf06eab0fca9c9d31560f,,49.62,86.08,55.22,65.02,62;1;1;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1772810350000
69aaeebcab0fca9c9d313d9f,,75.23,94.06,75.23,65.94,94;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1772809916000
69aaee32ab0fca9c9d3135a1,,63.22,89.77,64.02,63.79,79;1;0;0,time,15,-1,0,14.99,0,0,false,false,english,,normal,false,false,false,,1772809778000
69aa3497ab0fca9c9d2a5367,,64.04,91.01,64.04,58.99,80;0;0;0,time,15,-1,10,14.99,0,22.84,false,false,english,,normal,false,false,false,,1772762263000
69aa329eab0fca9c9d2a44ad,,82.43,96.4,86.43,75.93,103;0;1;0,time,15,-1,2,14.99,0,2.5,false,false,english,,normal,false,false,false,,1772761758000
69aa3287ab0fca9c9d2a43f1,,76.83,91.74,87.23,73.67,96;6;1;0,time,15,-1,8,14.99,0,33.62,false,false,english,,normal,false,false,false,,1772761735000
69aa3207ab0fca9c9d2a400a,,69.64,91.58,69.64,60.63,87;0;0;0,time,15,-1,1,14.99,0,7.88,false,false,english,,normal,false,false,false,,1772761607000
69aa31eaab0fca9c9d2a3f21,,72.85,89.91,86.45,68.84,91;7;0;2,time,15,-1,4,14.99,0,5.32,false,false,english,,normal,false,false,false,,1772761578000
69aa3193ab0fca9c9d2a3c8b,,74.46,95,78.46,72.8,93;2;0;0,time,15,-1,6,14.99,0,20.33,false,false,english,,normal,false,false,false,,1772761491000
69aa3162ab0fca9c9d2a3b0a,,74.42,93.94,74.42,66.44,93;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1772761442000
69aa3150ab0fca9c9d2a3a85,,59.23,89.25,71.24,62.67,74;4;0;0,time,15,-1,6,14.99,0,23.02,false,false,english,,normal,false,false,false,,1772761424000
69aa311dab0fca9c9d2a3919,,65.65,85.98,79.26,56.05,82;4;1;0,time,15,-1,1,14.99,0,1.98,false,false,english,,normal,false,false,false,,1772761373000
69aa30bbab0fca9c9d2a362a,,59.23,90.91,63.23,57.88,74;0;0;1,time,15,-1,3,14.99,0,4.29,false,false,english,,normal,false,false,false,,1772761275000
69aa309dab0fca9c9d2a3535,,75.23,95.96,75.23,65.99,94;0;0;0,time,15,-1,3,14.99,0,10.92,false,false,english,,normal,false,false,false,,1772761245000
69aa2f2dab0fca9c9d2a2b20,,63.22,87.13,77.62,68.17,79;6;0;0,time,15,-1,4,15,0,5.18,false,false,english,,normal,false,false,false,,1772760877000
